,Time,Tot_Energy,Free_Energy,OH2,OH,O,All
0,0.0,-10015.022,-9693.493,0,15,9,24
0,1.0,-9953.0361,-9631.507099999999,0,13,11,24
0,2.0,-9955.1548,-9633.6258,0,13,11,24
0,3.0,-9955.5896,-9634.060599999999,0,12,12,24
0,4.0,-9955.1887,-9633.6597,0,11,13,24
0,5.0,-9960.5761,-9639.0471,0,11,13,24
0,6.0,-9964.907,-9643.377999999999,0,11,13,24
0,7.0,-9961.3751,-9639.846099999999,0,9,15,24
0,8.0,-9964.1608,-9642.6318,0,9,15,24
0,9.0,-9965.7842,-9644.2552,0,9,15,24
0,10.0,-9962.0216,-9640.4926,0,9,15,24
0,11.0,-9966.2818,-9644.7528,0,9,15,24
0,12.0,-9961.3115,-9639.7825,0,10,14,24
0,13.0,-9966.588,-9645.059,0,10,14,24
0,14.0,-9963.2251,-9641.6961,0,10,14,24
0,15.0,-9969.2518,-9647.7228,0,9,15,24
0,16.0,-9963.5552,-9642.0262,0,9,15,24
0,17.0,-9962.0909,-9640.561899999999,0,8,16,24
0,18.0,-9963.7222,-9642.1932,0,8,16,24
0,19.0,-9966.4298,-9644.9008,0,8,16,24
0,20.0,-9965.7844,-9644.2554,0,8,16,24
0,21.0,-9963.8837,-9642.3547,0,8,16,24
0,22.0,-9964.7977,-9643.268699999999,0,8,16,24
0,23.0,-9965.117,-9643.588,0,8,16,24
0,24.0,-9966.5489,-9645.0199,0,8,16,24
0,25.0,-9964.4405,-9642.9115,0,8,16,24
0,26.0,-9967.5645,-9646.0355,0,8,16,24
0,27.0,-9967.2629,-9645.7339,0,8,16,24
0,28.0,-9966.6485,-9645.119499999999,0,8,16,24
0,29.0,-9968.0935,-9646.5645,0,8,16,24
0,30.0,-9967.4088,-9645.879799999999,0,8,16,24
0,31.0,-9965.6854,-9644.1564,0,9,15,24
0,32.0,-9966.8993,-9645.370299999999,0,8,16,24
0,33.0,-9968.3623,-9646.8333,0,8,16,24
0,34.0,-9967.3146,-9645.7856,0,8,16,24
0,35.0,-9967.6181,-9646.0891,0,8,16,24
0,36.0,-9965.6402,-9644.1112,0,9,15,24
0,37.0,-9964.6684,-9643.1394,0,9,15,24
0,38.0,-9962.5832,-9641.054199999999,0,8,16,24
0,39.0,-9964.816,-9643.287,0,7,17,24
0,40.0,-9963.9722,-9642.4432,0,7,17,24
0,41.0,-9967.0065,-9645.477499999999,0,7,17,24
0,42.0,-9968.0914,-9646.562399999999,0,8,16,24
0,43.0,-9962.9431,-9641.4141,0,8,16,24
0,44.0,-9964.6636,-9643.1346,0,8,16,24
0,45.0,-9970.087,-9648.557999999999,0,8,16,24
0,46.0,-9964.3361,-9642.8071,0,9,15,24
0,47.0,-9964.5408,-9643.0118,0,9,15,24
0,48.0,-9965.1553,-9643.6263,0,8,16,24
0,49.0,-9968.5043,-9646.9753,0,7,17,24
0,50.0,-9965.9254,-9644.3964,0,8,16,24
0,51.0,-9967.7635,-9646.234499999999,0,8,16,24
0,52.0,-9965.7769,-9644.2479,0,8,16,24
0,53.0,-9966.0276,-9644.498599999999,0,8,16,24
0,54.0,-9966.285,-9644.756,0,8,16,24
0,55.0,-9970.16,-9648.631,0,8,16,24
0,56.0,-9967.625,-9646.096,0,8,16,24
0,57.0,-9968.0163,-9646.487299999999,0,7,17,24
0,58.0,-9963.4623,-9641.933299999999,0,6,18,24
0,59.0,-9967.1027,-9645.573699999999,0,7,17,24
0,60.0,-9964.6568,-9643.1278,0,6,18,24
0,61.0,-9967.679,-9646.15,0,6,18,24
0,62.0,-9969.4204,-9647.8914,0,5,19,24
0,63.0,-9969.8264,-9648.2974,0,5,19,24
0,64.0,-9964.96,-9643.430999999999,0,5,19,24
0,65.0,-9969.7267,-9648.197699999999,0,5,19,24
0,66.0,-9969.2901,-9647.7611,0,5,19,24
0,67.0,-9966.9038,-9645.3748,0,5,19,24
0,68.0,-9966.9556,-9645.426599999999,0,5,19,24
0,69.0,-9969.6041,-9648.0751,0,5,19,24
0,70.0,-9967.5447,-9646.0157,0,5,19,24
0,71.0,-9971.9796,-9650.4506,0,5,19,24
0,72.0,-9967.1808,-9645.6518,0,5,19,24
0,73.0,-9965.1408,-9643.611799999999,0,5,19,24
0,74.0,-9969.6104,-9648.0814,0,5,19,24
0,75.0,-9966.9157,-9645.3867,0,5,19,24
0,76.0,-9969.9907,-9648.4617,0,5,19,24
0,77.0,-9967.597,-9646.068,0,5,19,24
0,78.0,-9968.5072,-9646.9782,0,5,19,24
0,79.0,-9970.6813,-9649.1523,0,6,18,24
0,80.0,-9971.624,-9650.095,0,5,19,24
0,81.0,-9968.5758,-9647.0468,0,5,19,24
0,82.0,-9972.8485,-9651.3195,0,5,19,24
0,83.0,-9967.883,-9646.354,0,5,19,24
0,84.0,-9971.058,-9649.529,0,5,19,24
0,85.0,-9967.3357,-9645.8067,0,5,19,24
0,86.0,-9966.7196,-9645.1906,0,5,19,24
0,87.0,-9973.6408,-9652.111799999999,0,5,19,24
0,88.0,-9968.3937,-9646.8647,0,5,19,24
0,89.0,-9973.9105,-9652.3815,0,5,19,24
0,90.0,-9970.5113,-9648.9823,0,5,19,24
0,91.0,-9968.3533,-9646.8243,0,5,19,24
0,92.0,-9970.6326,-9649.1036,0,5,19,24
0,93.0,-9972.9698,-9651.4408,0,5,19,24
0,94.0,-9967.4273,-9645.898299999999,0,5,19,24
0,95.0,-9972.4404,-9650.911399999999,0,5,19,24
0,96.0,-9966.3896,-9644.8606,0,5,19,24
0,97.0,-9971.7001,-9650.1711,0,5,19,24
0,98.0,-9969.0627,-9647.5337,0,5,19,24
0,99.0,-9969.6966,-9648.167599999999,0,5,19,24
0,100.0,-9972.3652,-9650.8362,0,5,19,24
0,101.0,-9975.5592,-9654.0302,0,5,19,24
0,102.0,-9970.6676,-9649.1386,0,5,19,24
0,103.0,-9971.1838,-9649.6548,0,5,19,24
0,104.0,-9971.835,-9650.305999999999,0,5,19,24
0,105.0,-9971.6169,-9650.0879,0,5,19,24
0,106.0,-9972.7415,-9651.2125,0,5,19,24
0,107.0,-9971.8922,-9650.3632,0,5,19,24
0,108.0,-9972.3458,-9650.816799999999,0,5,19,24
0,109.0,-9970.183,-9648.654,0,5,19,24
