,Time,Tot_Energy,Free_Energy,OH2,OH,O,OO,All
0,0.0,-10015.914,-9686.806,9,5,5,5,24
0,1.0,-9954.0572,-9624.9492,10,4,5,5,24
0,2.0,-9956.5165,-9627.4085,10,4,5,5,24
0,3.0,-9955.1393,-9626.0313,10,4,5,5,24
0,4.0,-9959.4025,-9630.2945,11,3,5,5,24
0,5.0,-9961.3453,-9632.2373,11,5,3,5,24
0,6.0,-9965.4715,-9636.3635,11,4,4,5,24
0,7.0,-9964.6755,-9635.5675,10,6,3,5,24
0,8.0,-9968.4481,-9639.3401,10,6,3,5,24
0,9.0,-9964.4777,-9635.3697,10,6,3,5,24
0,10.0,-9965.8318,-9636.7238,10,6,3,5,24
0,11.0,-9968.1591,-9639.0511,10,6,3,5,24
0,12.0,-9968.7249,-9639.616899999999,11,5,3,5,24
0,13.0,-9966.2163,-9637.1083,9,7,3,5,24
0,14.0,-9966.592,-9637.484,11,5,3,5,24
0,15.0,-9968.1315,-9639.0235,11,6,2,5,24
0,16.0,-9966.2929,-9637.1849,11,6,2,5,24
0,17.0,-9970.3139,-9641.205899999999,11,6,2,5,24
0,18.0,-9964.3632,-9635.2552,11,6,2,5,24
0,19.0,-9968.727,-9639.619,11,6,2,5,24
0,20.0,-9971.4165,-9642.3085,11,5,3,5,24
0,21.0,-9967.8896,-9638.7816,11,5,3,5,24
0,22.0,-9968.5993,-9639.4913,11,6,2,5,24
0,23.0,-9970.3218,-9641.2138,11,6,2,5,24
0,24.0,-9969.1286,-9640.0206,11,6,2,5,24
0,25.0,-9972.6392,-9643.5312,11,6,2,5,24
0,26.0,-9967.5922,-9638.484199999999,11,5,3,5,24
0,27.0,-9972.7156,-9643.6076,10,6,3,5,24
0,28.0,-9971.3441,-9642.2361,10,6,3,5,24
0,29.0,-9971.5083,-9642.4003,10,6,3,5,24
0,30.0,-9971.8307,-9642.7227,11,5,3,5,24
0,31.0,-9968.8269,-9639.7189,11,6,2,5,24
0,32.0,-9967.7858,-9638.6778,11,6,2,5,24
0,33.0,-9972.7212,-9643.6132,10,7,2,5,24
0,34.0,-9967.0096,-9637.9016,11,6,2,5,24
0,35.0,-9971.6668,-9642.5588,11,5,3,5,24
0,36.0,-9968.2543,-9639.1463,11,6,2,5,24
0,37.0,-9971.8649,-9642.7569,11,6,2,5,24
0,38.0,-9967.2934,-9638.1854,9,7,3,5,24
0,39.0,-9968.8096,-9639.7016,11,5,3,5,24
0,40.0,-9967.8998,-9638.791799999999,11,6,2,5,24
0,41.0,-9970.4581,-9641.3501,9,7,3,5,24
0,42.0,-9970.7752,-9641.6672,11,6,2,5,24
0,43.0,-9971.0564,-9641.9484,11,5,3,5,24
0,44.0,-9970.0079,-9640.8999,10,7,2,5,24
0,45.0,-9967.3456,-9638.2376,11,5,3,5,24
0,46.0,-9970.4203,-9641.3123,11,5,3,5,24
0,47.0,-9970.5388,-9641.4308,10,6,3,5,24
0,48.0,-9963.7409,-9634.6329,10,8,1,5,24
0,49.0,-9967.6695,-9638.5615,10,7,2,5,24
0,50.0,-9968.6092,-9639.5012,11,8,0,5,24
0,51.0,-9969.3147,-9640.2067,11,8,0,5,24
0,52.0,-9972.808,-9643.7,10,9,0,5,24
0,53.0,-9967.3618,-9638.2538,10,9,0,5,24
0,54.0,-9965.639,-9636.530999999999,11,7,1,5,24
0,55.0,-9967.2202,-9638.1122,11,8,0,5,24
0,56.0,-9967.9137,-9638.805699999999,10,8,1,5,24
0,57.0,-9970.6269,-9641.5189,11,7,1,5,24
0,58.0,-9969.1236,-9640.0156,11,7,1,5,24
0,59.0,-9975.2937,-9646.1857,9,9,1,5,24
0,60.0,-9969.8628,-9640.7548,8,10,1,5,24
0,61.0,-9967.4347,-9638.3267,11,7,1,5,24
0,62.0,-9970.7274,-9641.6194,11,7,1,5,24
0,63.0,-9972.9211,-9643.8131,9,9,1,5,24
0,64.0,-9968.52,-9639.412,12,6,1,5,24
0,65.0,-9970.7689,-9641.660899999999,12,6,1,5,24
0,66.0,-9973.3196,-9644.2116,11,7,1,5,24
0,67.0,-9968.8068,-9639.6988,12,6,1,5,24
0,68.0,-9973.797,-9644.689,12,5,2,5,24
0,69.0,-9969.1716,-9640.0636,11,6,2,5,24
0,70.0,-9968.9129,-9639.8049,11,6,2,5,24
0,71.0,-9968.86,-9639.752,12,5,2,5,24
0,72.0,-9967.4351,-9638.3271,13,4,2,5,24
0,73.0,-9971.0661,-9641.9581,10,7,2,5,24
0,74.0,-9972.5564,-9643.4484,9,8,2,5,24
0,75.0,-9968.0664,-9638.9584,11,6,2,5,24
0,76.0,-9972.637,-9643.529,12,5,2,5,24
0,77.0,-9971.8121,-9642.704099999999,13,4,2,5,24
0,78.0,-9972.4998,-9643.3918,13,4,2,5,24
0,79.0,-9971.6352,-9642.5272,12,5,2,5,24
0,80.0,-9968.118,-9639.01,13,4,2,5,24
0,81.0,-9973.7102,-9644.6022,13,4,2,5,24
0,82.0,-9970.2008,-9641.0928,11,7,1,5,24
0,83.0,-9971.2178,-9642.1098,10,8,1,5,24
0,84.0,-9969.8184,-9640.7104,11,7,1,5,24
0,85.0,-9971.0417,-9641.9337,12,6,1,5,24
0,86.0,-9969.9484,-9640.8404,12,6,1,5,24
0,87.0,-9973.5741,-9644.4661,12,6,1,5,24
0,88.0,-9970.86,-9641.752,12,6,1,5,24
0,89.0,-9973.3767,-9644.2687,12,5,2,5,24
0,90.0,-9969.3872,-9640.279199999999,12,6,1,5,24
0,91.0,-9968.9696,-9639.8616,11,7,1,5,24
0,92.0,-9972.5828,-9643.4748,10,8,1,5,24
0,93.0,-9967.8392,-9638.7312,12,6,1,5,24
0,94.0,-9972.4263,-9643.318299999999,10,8,1,5,24
0,95.0,-9970.0812,-9640.9732,13,5,1,5,24
0,96.0,-9972.9846,-9643.8766,12,6,1,5,24
0,97.0,-9972.8607,-9643.7527,13,5,1,5,24
0,98.0,-9971.822,-9642.714,12,6,1,5,24
0,99.0,-9970.5559,-9641.4479,12,6,1,5,24
0,100.0,-9970.4016,-9641.293599999999,13,5,1,5,24
0,101.0,-9972.8348,-9643.7268,11,7,1,5,24
0,102.0,-9973.9124,-9644.804399999999,13,5,1,5,24
0,103.0,-9969.1906,-9640.0826,13,5,1,5,24
0,104.0,-9969.3191,-9640.2111,13,5,1,5,24
0,105.0,-9971.2656,-9642.1576,13,5,1,5,24
0,106.0,-9971.1309,-9642.0229,12,6,1,5,24
0,107.0,-9971.5051,-9642.3971,13,5,1,5,24
0,108.0,-9971.2102,-9642.1022,11,7,1,5,24
0,109.0,-9971.2607,-9642.1527,13,5,1,5,24
0,110.0,-9973.7535,-9644.6455,13,5,1,5,24
0,111.0,-9969.6557,-9640.5477,12,6,1,5,24
0,112.0,-9969.4388,-9640.3308,10,8,1,5,24
0,113.0,-9969.7506,-9640.6426,13,5,1,5,24
0,114.0,-9974.9655,-9645.8575,12,6,1,5,24
0,115.0,-9970.6305,-9641.5225,11,7,1,5,24
0,116.0,-9969.3573,-9640.2493,11,7,1,5,24
0,117.0,-9972.2178,-9643.1098,11,7,1,5,24
0,118.0,-9969.8089,-9640.7009,11,7,1,5,24
0,119.0,-9967.888,-9638.78,13,5,1,5,24
0,120.0,-9971.3067,-9642.198699999999,11,7,1,5,24
0,121.0,-9972.276,-9643.168,13,5,1,5,24
0,122.0,-9967.7127,-9638.6047,11,7,1,5,24
0,123.0,-9970.892,-9641.784,12,6,1,5,24
0,124.0,-9973.0352,-9643.9272,13,5,1,5,24
0,125.0,-9967.8006,-9638.6926,12,6,1,5,24
0,126.0,-9970.3157,-9641.207699999999,12,6,1,5,24
0,127.0,-9967.4969,-9638.3889,13,5,1,5,24
0,128.0,-9967.6768,-9638.5688,12,6,1,5,24
0,129.0,-9971.2373,-9642.1293,13,5,1,5,24
0,130.0,-9972.4337,-9643.3257,13,5,1,5,24
0,131.0,-9969.7477,-9640.6397,12,6,1,5,24
0,132.0,-9967.0017,-9637.8937,11,7,1,5,24
0,133.0,-9969.0808,-9639.9728,13,5,1,5,24
0,134.0,-9962.8803,-9633.7723,12,6,1,5,24
0,135.0,-9967.6287,-9638.5207,13,5,1,5,24
0,136.0,-9968.6287,-9639.5207,11,7,1,5,24
0,137.0,-9969.1456,-9640.0376,11,7,1,5,24
0,138.0,-9968.889,-9639.780999999999,13,5,1,5,24
0,139.0,-9971.1191,-9642.0111,13,5,1,5,24
0,140.0,-9969.3586,-9640.2506,12,6,1,5,24
0,141.0,-9967.7902,-9638.6822,13,5,1,5,24
0,142.0,-9969.7775,-9640.6695,13,5,1,5,24
0,143.0,-9967.1743,-9638.0663,12,6,1,5,24
0,144.0,-9964.7812,-9635.6732,13,5,1,5,24
0,145.0,-9965.0845,-9635.9765,13,5,1,5,24
0,146.0,-9969.9809,-9640.8729,13,5,1,5,24
0,147.0,-9971.1776,-9642.0696,13,5,1,5,24
0,148.0,-9973.9218,-9644.8138,13,5,1,5,24
0,149.0,-9971.3355,-9642.227499999999,12,6,1,5,24
0,150.0,-9973.2096,-9644.1016,13,5,1,5,24
0,151.0,-9973.0163,-9643.9083,12,6,1,5,24
0,152.0,-9969.8229,-9640.714899999999,13,5,1,5,24
0,153.0,-9975.2972,-9646.1892,12,6,1,5,24
0,154.0,-9973.9891,-9644.8811,13,5,1,5,24
0,155.0,-9967.132,-9638.024,13,5,1,5,24
0,156.0,-9969.7825,-9640.6745,13,5,1,5,24
0,157.0,-9970.7069,-9641.598899999999,11,7,1,5,24
0,158.0,-9965.5915,-9636.4835,13,5,1,5,24
0,159.0,-9971.0356,-9641.927599999999,13,5,1,5,24
0,160.0,-9972.1906,-9643.0826,12,6,1,5,24
0,161.0,-9973.7124,-9644.6044,13,5,1,5,24
0,162.0,-9972.8718,-9643.7638,12,6,1,5,24
0,163.0,-9972.0751,-9642.9671,13,5,1,5,24
0,164.0,-9968.8183,-9639.7103,12,6,1,5,24
0,165.0,-9973.3559,-9644.2479,12,6,1,5,24
0,166.0,-9970.6106,-9641.5026,13,5,1,5,24
0,167.0,-9968.3974,-9639.2894,12,6,1,5,24
0,168.0,-9972.4502,-9643.3422,11,7,1,5,24
0,169.0,-9967.9865,-9638.8785,11,7,1,5,24
0,170.0,-9973.8556,-9644.7476,13,5,1,5,24
0,171.0,-9969.2291,-9640.1211,12,6,1,5,24
0,172.0,-9970.6345,-9641.5265,12,6,1,5,24
0,173.0,-9971.1167,-9642.0087,12,6,1,5,24
0,174.0,-9972.9005,-9643.7925,13,5,1,5,24
0,175.0,-9969.2062,-9640.0982,13,5,1,5,24
0,176.0,-9970.6128,-9641.5048,13,5,1,5,24
0,177.0,-9972.46,-9643.351999999999,12,6,1,5,24
0,178.0,-9971.2094,-9642.1014,13,5,1,5,24
0,179.0,-9971.6686,-9642.5606,12,6,1,5,24
0,180.0,-9971.1531,-9642.0451,12,6,1,5,24
0,181.0,-9973.9182,-9644.8102,13,5,1,5,24
0,182.0,-9972.1664,-9643.0584,12,6,1,5,24
0,183.0,-9969.0438,-9639.9358,11,7,1,5,24
0,184.0,-9974.3882,-9645.2802,13,5,1,5,24
0,185.0,-9970.261,-9641.153,14,4,1,5,24
0,186.0,-9970.1283,-9641.0203,14,4,1,5,24
0,187.0,-9972.8773,-9643.7693,14,4,1,5,24
0,188.0,-9968.576,-9639.467999999999,14,4,1,5,24
0,189.0,-9967.9578,-9638.8498,13,5,1,5,24
0,190.0,-9971.4081,-9642.3001,13,5,1,5,24
0,191.0,-9972.8796,-9643.7716,14,4,1,5,24
0,192.0,-9968.3496,-9639.2416,14,4,1,5,24
0,193.0,-9970.5906,-9641.4826,14,4,1,5,24
0,194.0,-9969.5188,-9640.4108,14,4,1,5,24
0,195.0,-9974.0415,-9644.9335,14,4,1,5,24
0,196.0,-9967.2919,-9638.1839,12,6,1,5,24
0,197.0,-9970.128,-9641.02,13,5,1,5,24
0,198.0,-9969.9251,-9640.8171,13,5,1,5,24
0,199.0,-9973.5497,-9644.4417,13,5,1,5,24
0,200.0,-9970.5752,-9641.4672,14,4,1,5,24
0,201.0,-9971.5256,-9642.4176,14,4,1,5,24
0,202.0,-9968.029,-9638.921,13,5,1,5,24
0,203.0,-9972.1011,-9642.9931,14,4,1,5,24
0,204.0,-9970.9261,-9641.8181,13,5,1,5,24
0,205.0,-9972.6578,-9643.5498,14,4,1,5,24
0,206.0,-9969.5099,-9640.401899999999,13,5,1,5,24
0,207.0,-9968.5281,-9639.4201,13,5,1,5,24
0,208.0,-9970.4512,-9641.3432,13,5,1,5,24
0,209.0,-9971.4105,-9642.3025,13,5,1,5,24
0,210.0,-9972.9416,-9643.8336,13,5,1,5,24
0,211.0,-9966.5266,-9637.418599999999,14,4,1,5,24
0,212.0,-9968.8643,-9639.7563,14,4,1,5,24
0,213.0,-9970.9989,-9641.8909,14,4,1,5,24
0,214.0,-9969.9446,-9640.8366,13,5,1,5,24
0,215.0,-9972.4127,-9643.3047,13,5,1,5,24
0,216.0,-9971.4106,-9642.302599999999,14,4,1,5,24
0,217.0,-9970.0222,-9640.9142,14,4,1,5,24
0,218.0,-9969.7376,-9640.6296,13,5,1,5,24
0,219.0,-9970.464,-9641.356,14,4,1,5,24
0,220.0,-9972.4598,-9643.3518,14,4,1,5,24
0,221.0,-9969.3714,-9640.2634,14,4,1,5,24
0,222.0,-9973.1269,-9644.0189,13,5,1,5,24
