,Time,Tot_Energy,Free_Energy,OH2,OH,O,All
0,0.0,-10014.375,-9692.846,0,13,11,24
0,1.0,-9953.5858,-9632.0568,0,11,13,24
0,2.0,-9958.0027,-9636.473699999999,0,10,14,24
0,3.0,-9956.7927,-9635.2637,0,10,14,24
0,4.0,-9957.518,-9635.989,0,9,15,24
0,5.0,-9961.0569,-9639.5279,0,10,14,24
0,6.0,-9960.2266,-9638.6976,0,9,15,24
0,7.0,-9960.3442,-9638.8152,0,9,15,24
0,8.0,-9962.8379,-9641.3089,0,8,16,24
0,9.0,-9964.2241,-9642.695099999999,0,8,16,24
0,10.0,-9963.9273,-9642.398299999999,0,9,15,24
0,11.0,-9962.8925,-9641.3635,0,9,15,24
0,12.0,-9967.0053,-9645.4763,0,8,16,24
0,13.0,-9962.0217,-9640.492699999999,0,9,15,24
0,14.0,-9969.1222,-9647.5932,0,8,16,24
0,15.0,-9962.5265,-9640.9975,0,9,15,24
0,16.0,-9967.4814,-9645.9524,0,9,15,24
0,17.0,-9964.6352,-9643.1062,0,8,16,24
0,18.0,-9965.9521,-9644.4231,0,8,16,24
0,19.0,-9964.2765,-9642.7475,0,7,17,24
0,20.0,-9965.0512,-9643.5222,0,6,18,24
0,21.0,-9965.8121,-9644.283099999999,0,7,17,24
0,22.0,-9965.5766,-9644.0476,0,5,19,24
0,23.0,-9966.5929,-9645.0639,0,6,18,24
0,24.0,-9964.4288,-9642.8998,0,6,18,24
0,25.0,-9969.0606,-9647.5316,0,7,17,24
0,26.0,-9967.2432,-9645.7142,0,6,18,24
0,27.0,-9964.6187,-9643.0897,0,5,19,24
0,28.0,-9967.2183,-9645.6893,0,6,18,24
0,29.0,-9969.5106,-9647.9816,0,7,17,24
0,30.0,-9971.5238,-9649.9948,0,7,17,24
0,31.0,-9966.8907,-9645.3617,0,7,17,24
0,32.0,-9970.3577,-9648.8287,0,7,17,24
0,33.0,-9968.5737,-9647.0447,0,7,17,24
0,34.0,-9967.52,-9645.991,0,6,18,24
0,35.0,-9968.8031,-9647.274099999999,0,7,17,24
0,36.0,-9971.6166,-9650.087599999999,0,6,18,24
0,37.0,-9965.2632,-9643.734199999999,0,6,18,24
0,38.0,-9968.7031,-9647.1741,0,7,17,24
0,39.0,-9971.6051,-9650.0761,0,6,18,24
0,40.0,-9966.4444,-9644.9154,0,6,18,24
0,41.0,-9970.426,-9648.896999999999,0,5,19,24
0,42.0,-9968.5077,-9646.9787,0,6,18,24
0,43.0,-9972.4806,-9650.9516,0,6,18,24
0,44.0,-9969.9946,-9648.4656,0,7,17,24
0,45.0,-9976.0174,-9654.4884,0,6,18,24
0,46.0,-9972.5224,-9650.9934,0,5,19,24
0,47.0,-9966.0425,-9644.5135,0,7,17,24
0,48.0,-9974.1438,-9652.6148,0,5,19,24
0,49.0,-9968.817,-9647.287999999999,0,6,18,24
0,50.0,-9974.8529,-9653.3239,0,4,20,24
0,51.0,-9970.7574,-9649.2284,0,7,17,24
0,52.0,-9969.7762,-9648.2472,0,4,20,24
0,53.0,-9969.6834,-9648.1544,0,6,18,24
0,54.0,-9971.2883,-9649.7593,0,5,19,24
0,55.0,-9968.5292,-9647.0002,0,6,18,24
0,56.0,-9972.1026,-9650.5736,0,6,18,24
0,57.0,-9965.8389,-9644.3099,0,6,18,24
0,58.0,-9969.4291,-9647.900099999999,0,7,17,24
0,59.0,-9967.1775,-9645.6485,0,7,17,24
0,60.0,-9972.7029,-9651.1739,0,5,19,24
0,61.0,-9969.2321,-9647.703099999999,0,6,18,24
0,62.0,-9971.3036,-9649.774599999999,0,5,19,24
0,63.0,-9967.6808,-9646.1518,0,6,18,24
0,64.0,-9968.1162,-9646.5872,0,6,18,24
0,65.0,-9970.0955,-9648.566499999999,0,6,18,24
0,66.0,-9971.7965,-9650.2675,0,7,17,24
0,67.0,-9969.2751,-9647.7461,0,6,18,24
0,68.0,-9972.4915,-9650.9625,0,6,18,24
0,69.0,-9970.6911,-9649.1621,0,7,17,24
0,70.0,-9968.3913,-9646.862299999999,0,7,17,24
0,71.0,-9971.0454,-9649.5164,0,6,18,24
0,72.0,-9972.5948,-9651.0658,0,6,18,24
0,73.0,-9968.1605,-9646.6315,0,7,17,24
0,74.0,-9970.8939,-9649.364899999999,0,7,17,24
0,75.0,-9967.5392,-9646.010199999999,0,6,18,24
0,76.0,-9964.7006,-9643.1716,0,8,16,24
0,77.0,-9968.6696,-9647.140599999999,0,8,16,24
0,78.0,-9971.087,-9649.557999999999,0,8,16,24
0,79.0,-9965.902,-9644.373,0,7,17,24
0,80.0,-9970.7429,-9649.213899999999,0,7,17,24
0,81.0,-9974.8198,-9653.290799999999,0,8,16,24
0,82.0,-9968.7963,-9647.2673,0,7,17,24
0,83.0,-9973.2033,-9651.674299999999,0,7,17,24
0,84.0,-9965.3728,-9643.843799999999,0,7,17,24
0,85.0,-9971.676,-9650.146999999999,0,8,16,24
0,86.0,-9970.2882,-9648.7592,0,8,16,24
0,87.0,-9969.8632,-9648.3342,0,8,16,24
0,88.0,-9968.9811,-9647.4521,0,7,17,24
0,89.0,-9971.11,-9649.581,0,6,18,24
0,90.0,-9970.4254,-9648.8964,0,7,17,24
0,91.0,-9971.3722,-9649.8432,0,7,17,24
0,92.0,-9972.0275,-9650.4985,0,6,18,24
0,93.0,-9973.8268,-9652.2978,0,7,17,24
0,94.0,-9970.4815,-9648.9525,0,7,17,24
0,95.0,-9968.8796,-9647.3506,0,7,17,24
0,96.0,-9971.2416,-9649.712599999999,0,7,17,24
0,97.0,-9970.2961,-9648.7671,0,7,17,24
0,98.0,-9971.1124,-9649.5834,0,6,18,24
0,99.0,-9967.6311,-9646.1021,0,7,17,24
0,100.0,-9971.8952,-9650.3662,0,6,18,24
0,101.0,-9965.6192,-9644.090199999999,0,7,17,24
